Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0603,4,100n,
C5,C_Radial_D10.0mm_H16.0mm_P5.00mm,1,470u,
C6,0603,1,1n,
"CD1, CD2",0805,2,100n,
D1,LED_D5.0mm,1,RED,
"D10, D11, D12, D5, D6, D7, D8, D9",D_SMA,8,1N4007,
D14,1206,1,LED,
D2,LED_D5.0mm,1,YELLOW,
D3,LED_D5.0mm,1,GREEN,
D4,LED_D5.0mm,1,BLUE,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_ISO7380_Pad,4,MountingHole_Pad,
"J1, J2",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Male,
J3,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Male,
J4,OSTV7XX3151,1,OSTV7XX3151,
"J5, J6","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",2,Screw_Terminal_01x02,
J7,DELTRON 4mm banana socket - red,1,Screw_Terminal_01x01,
J8,DELTRON 4mm banana socket - black,1,Screw_Terminal_01x01,
"JP1, JP10, JP2, JP3, JP4, JP5, JP9",PinHeader_1x02_P2.54mm_jumper,7,Jumper_2_Open,
"JP6, JP7, JP8",PinHeader_1x03_P2.54mm_Vertical_jumper,3,Jumper_3_Open,
"R1, R20, R9",0603,3,4k7,
"R10, R11, R13, R14, R15, R16, R5, R8",0603,8,2k,
"R12, R18, R2, R3, R4, R6",0603,6,10k,
R17,R_LDR_5.1x4.3mm_P3.4mm_Vertical,1,R_Photo,
"R19, R21",0603,2,100,
R7,0603,1,619,
RV1,PTV09A-4225F-B502,1,10k,
"SW1, SW2",EG1271A,2,SW_SPDT,
"SW3, SW4",Omron_B3F-12x12mm,2,SW_Push,
U1,DIP-16_W7.62mm,1,74LS47,
U2,7segm-SA52,1,7segm-symbol,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,ACS712xLCTR-05B,
U4,L298n,1,L298N,
